locationID,fullAQSID,locationName,longitude,latitude,elevation,countryCode,stateCode,countyName,timezone,houseNumber,street,city,zip,AQSID,airnow_stationID,airnow_parameterName,airnow_monitorType,airnow_siteCode,airnow_status,airnow_agencyID,airnow_agencyName,airnow_EPARegion,airnow_GMTOffsetHours,airnow_CBSA_ID,airnow_CBSA_Name,airnow_stateAQSCode,airnow_countyAQSCode,airnow_MSAName,address
6fcbf857f618b0d0,840410670004,Hillsboro - Hare Field,-122.972398,45.528501,62.8,US,OR,Washington,America/Los_Angeles,NA,Northeast Delsey Road,NA,97123-4201,410670004,410670004,PM2.5,Permanent,0004,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,38900," Portland-Vancouver-Beaverton, OR-WA ",41,067,NA,"Hare Field, Northeast Delsey Road, Hillsboro, OR 97123-4201, United States of America"
12722ce6029f0952,840410670005,Portland Near Road,-122.7455,45.39916,53.12,US,OR,Washington,America/Los_Angeles,6745,Southwest Bradbury Court,NA,97224,410670005,410670005,PM2.5,Permanent,0005,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,38900," Portland-Vancouver-Beaverton, OR-WA ",41,067,NA,"6745 Southwest Bradbury Court, Tigard, OR 97224, United States of America"
1a98d5ff786f9d2e,840410670006,Forest Grove Pacific University,-123.10554,45.52483,79.9,US,OR,Washington,America/Los_Angeles,NA,23rd Place,Forest Grove,97116-2872,840410670006,840410670006,PM2.5,Permanent,0006,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,NA,NA,41,067,NA,"23rd Place, Forest Grove, OR 97116-2872, United States of America"
5b1a5e7116929477,840410670111,Beaverton - Highland Park School,-122.8159,45.4702,58,US,OR,Washington,America/Los_Angeles,7000,Southwest Wilson Avenue,NA,97008,410670111,410670111,PM2.5,Permanent,0111,Active,OR1,Oregon Dept. of Environmental Quality,R10,-8,38900," Portland-Vancouver-Beaverton, OR-WA ",41,067,NA,"Highland Park Middle School, 7000 Southwest Wilson Avenue, Beaverton, OR 97008, United States of America"
f63f24629a7e71c2,840420010001,Arendtsville,-77.3081,39.9233,269,US,PA,Adams,America/New_York,NA,Winding Road,NA,17307,420010001,420010001,PM2.5,Permanent,0001,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,-5,23900," Gettysburg, PA ",42,001,NA,"Winding Road, Bridgeport, Adams County, PA 17307, United States of America"
a33d3117cec6a3ac,840420030008,Lawrenceville,-79.9611,40.4656,274.5,US,PA,Allegheny,America/New_York,282-286,39th Street,NA,15201,420030008,420030008,PM2.5,Permanent,0008,Active,PA3,Allegheny County,R3,-5,38300," Pittsburgh, PA ",42,003,NA,"282-286 39th Street, Pittsburgh, PA 15201, United States of America"
40362df968e655aa,840420030064,Liberty (SAHS),-79.868301,40.323898,335.5,US,PA,Allegheny,America/New_York,NA,South Allegheny Drive,NA,15133,420030064,420030064,PM2.5,Permanent,0064,Active,PA3,Allegheny County,R3,-5,38300," Pittsburgh, PA ",42,003,NA,"South Allegheny High School Auditorium, South Allegheny Drive, Liberty, Allegheny County, PA 15133, United States of America"
5347fb85c8814073,840420031376,Parkway East (Near Road),-79.863572,40.437431,111.3,US,PA,Allegheny,America/New_York,NA,Penn-Lincoln Parkway East,Wilkinsburg,15221,420031376,420031376,PM2.5,Permanent,1376,Active,PA3,Allegheny County,R3,-5,38300," Pittsburgh, PA ",42,003,NA,"Penn-Lincoln Parkway East, Wilkinsburg, PA 15221, United States of America"
7213214b323b6339,840420050001,Kittanning,-79.565,40.8142,349.1,US,PA,Armstrong,America/New_York,311,Glade Drive,NA,16201,420050001,420050001,PM2.5,Permanent,0001,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,-5,38300," Pittsburgh, PA ",42,005,NA,"311 Glade Drive, East Franklin Township, PA 16201, United States of America"
7c74533d6c40b51f,840420070014,Beaver Falls,-80.316704,40.747799,225.45,US,PA,Beaver,America/New_York,867,2nd Avenue,NA,15010,420070014,420070014,PM2.5,Permanent,0014,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,-5,38300," Pittsburgh, PA ",42,007,NA,"867 2nd Avenue, Beaver Falls, Beaver County, PA 15010, United States of America"
bc8136aad74dbdaa,840420110011,Reading Airport,-75.9686,40.3833,92.1,US,PA,Berks,America/New_York,1011,Arnold Road,NA,19605,420110011,420110011,PM2.5,Permanent,0011,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,-5,39740," Reading, PA ",42,011,NA,"1011 Arnold Road, Bern Township, PA 19605, United States of America"
3511221bf585d9b2,840420130801,Altoona,-78.3889,40.515,378.63,US,PA,Blair,America/New_York,273,7th Street,NA,16602,420130801,420130801,PM2.5,Permanent,0801,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,-5,11020," Altoona, PA ",42,013,NA,"273 7th Street, Altoona, PA 16602, United States of America"
c95e2f32a21f8097,840420150011,Towanda,-76.512726,41.705226,340.1,US,PA,Bradford,America/New_York,NA,PA 414,NA,18832,420150011,420150011,PM2.5,Permanent,0011,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,-5,NA,NA,42,015,NA,"Monroe Franklin Elementary School (closed), PA 414, Franklindale, Bradford County, PA 18832, United States of America"
c9c367872ac8f47a,840420210011,Johnstown,-78.9158,40.3097,349.77,US,PA,Cambria,America/New_York,927,Franklin Street,Johnstown,15905,420210011,420210011,PM2.5,Permanent,0011,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,-5,27780," Johnstown, PA ",42,021,NA,"927 Franklin Street, Johnstown, PA 15905, United States of America"
9c09126254a89aaa,840420270100,State College,-77.8769,40.8114,349.41,US,PA,Centre,America/New_York,NA,Air Quality Lane,NA,16803-3073,420270100,420270100,PM2.5,Permanent,0100,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,-5,44300," State College, PA ",42,027,NA,"Air Quality Learning and Demonstration Center, Air Quality Lane, Ferguson Township, PA 16803-3073, United States of America"
8815e407741361a7,840420290100,New Garden,-75.7678,39.8344,138.43,US,PA,Chester,America/New_York,NA,Baltimore Pike,New Garden Township,19374,420290100,420290100,PM2.5,Permanent,0100,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,-5,37980," Philadelphia-Camden-Wilmington, PA-NJ-DE-MD ",42,029,NA,"New Garden (N57), Baltimore Pike, Toughkenamon, New Garden Township, PA 19374, United States of America"
